0	1
0.01	0.99995
0.02	0.9998
0.03	0.99955
0.04	0.9992
0.05	0.99875
0.06	0.998201
0.07	0.997551
0.08	0.996802
0.09	0.995953
0.1	0.995004
0.11	0.993956
0.12	0.992809
0.13	0.991562
0.14	0.990216
0.15	0.988771
0.16	0.987227
0.17	0.985585
0.18	0.983844
0.19	0.982004
0.2	0.980067
0.21	0.978031
0.22	0.975897
0.23	0.973666
0.24	0.971338
0.25	0.968912
0.26	0.96639
0.27	0.963771
0.28	0.961055
0.29	0.958244
0.3	0.955337
0.31	0.952334
0.32	0.949235
0.33	0.946042
0.34	0.942755
0.35	0.939373
0.36	0.935897
0.37	0.932327
0.38	0.928665
0.39	0.924909
0.4	0.921061
0.41	0.917121
0.42	0.913089
0.43	0.908966
0.44	0.904752
0.45	0.900447
0.46	0.896053
0.47	0.891568
0.48	0.886995
0.49	0.882333
0.5	0.877583
0.51	0.872745
0.52	0.867819
0.53	0.862807
0.54	0.857709
0.55	0.852525
0.56	0.847255
0.57	0.841901
0.58	0.836463
0.59	0.830941
0.6	0.825336
0.61	0.819648
0.62	0.813879
0.63	0.808028
0.64	0.802096
0.65	0.796084
0.66	0.789992
0.67	0.783822
0.68	0.777573
0.69	0.771246
0.7	0.764842
0.71	0.758362
0.72	0.751806
0.73	0.745175
0.74	0.738469
0.75	0.731689
0.76	0.724836
0.77	0.717911
0.78	0.710914
0.79	0.703846
0.8	0.696707
0.81	0.689499
0.82	0.682222
0.83	0.674876
0.839999	0.667463
0.849999	0.659984
0.859999	0.652438
0.869999	0.644827
0.879999	0.637152
0.889999	0.629412
0.899999	0.62161
0.909999	0.613746
0.919999	0.605821
0.929999	0.597834
0.939999	0.589788
0.949999	0.581684
0.959999	0.57352
0.969999	0.5653
0.979999	0.557023
0.989999	0.54869
0.999999	0.540303
1.01	0.531861
1.02	0.523366
1.03	0.514819
1.04	0.506221
1.05	0.497572
1.06	0.488873
1.07	0.480125
1.08	0.471329
1.09	0.462486
1.1	0.453597
1.11	0.444662
1.12	0.435683
1.13	0.42666
1.14	0.417595
1.15	0.408488
1.16	0.39934
